"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 03","38.23","39.47","40.06","37.62","69.25M","-2.18%"
"2025- 10- 02","39.08","38.96","39.32","38.14","68.83M","6.02%"
"2025- 10- 01","36.86","34.18","36.98","33.98","67.09M","5.80%"
"2025- 09- 30","34.84","34.06","34.96","33.57","60.70M","2.41%"
"2025- 09- 29","34.02","35.03","35.49","33.99","56.59M","0.00%"
"2025- 09- 26","34.02","33.93","34.23","32.83","60.94M","0.50%"
"2025- 09- 25","33.85","32.44","34.06","31.36","79.97M","-1.02%"
"2025- 09- 24","34.20","33.96","34.39","32.81","58.37M","-0.29%"
"2025- 09- 23","34.30","34.70","35.30","33.67","63.66M","-0.38%"
"2025- 09- 22","34.43","33.19","34.75","33.19","62.95M","4.27%"
"2025- 09- 19","33.02","33.56","33.60","32.12","66.11M","-1.84%"
"2025- 09- 18","33.64","32.76","34.14","32.43","104.51M","10.40%"
"2025- 09- 17","30.47","30.28","31.25","29.16","80.48M","-0.03%"
"2025- 09- 16","30.48","30.33","30.65","29.79","54.15M","1.60%"
"2025- 09- 15","30.00","29.14","30.03","28.92","61.27M","2.39%"
"2025- 09- 12","29.30","29.37","29.55","28.79","52.50M","0.45%"
"2025- 09- 11","29.17","29.06","29.61","28.97","69.92M","1.99%"
"2025- 09- 10","28.60","28.48","28.83","28.07","86.72M","5.22%"
"2025- 09- 09","27.18","27.17","27.37","26.57","55.88M","0.37%"
"2025- 09- 08","27.08","26.96","27.43","26.68","72.34M","2.38%"
"2025- 09- 05","26.45","26.82","26.97","25.60","110.75M","3.12%"
"2025- 09- 04","25.65","24.41","25.73","23.98","81.64M","2.97%"
"2025- 09- 03","24.91","25.41","25.41","24.12","79.48M","-1.35%"
"2025- 09- 02","25.25","24.08","25.27","23.80","101.91M","-3.03%"
"2025- 08- 29","26.04","27.32","27.35","25.67","108.41M","-8.73%"
"2025- 08- 28","28.53","28.41","29.11","27.96","74.47M","1.24%"
"2025- 08- 27","28.18","27.61","28.23","27.28","61.38M","0.86%"
"2025- 08- 26","27.94","27.53","28.22","27.52","57.54M","2.34%"
"2025- 08- 25","27.30","27.35","27.58","26.81","55.02M","-0.55%"
"2025- 08- 22","27.45","25.56","28.32","25.33","117.14M","8.28%"
"2025- 08- 21","25.35","25.40","25.90","24.91","67.87M","-1.74%"
"2025- 08- 20","25.80","26.11","26.11","23.66","117.64M","-1.68%"
"2025- 08- 19","26.24","27.57","27.86","26.10","75.60M","-4.69%"
"2025- 08- 18","27.53","27.10","27.65","27.03","50.31M","0.58%"
"2025- 08- 15","27.37","28.71","28.71","27.07","93.66M","-6.97%"
"2025- 08- 14","29.42","28.12","29.66","27.95","84.29M","0.51%"
"2025- 08- 13","29.27","28.65","29.33","28.31","89.50M","4.54%"
"2025- 08- 12","28.00","26.21","28.08","25.68","125.91M","9.33%"
"2025- 08- 11","25.61","26.03","26.89","25.45","75.94M","-0.39%"
"2025- 08- 08","25.71","25.16","25.83","24.90","71.39M","2.84%"
"2025- 08- 07","25.00","25.48","25.88","24.53","117.23M","4.21%"
"2025- 08- 06","23.99","23.84","24.12","22.95","103.45M","-2.16%"
"2025- 08- 05","24.52","25.42","25.68","23.61","99.73M","-1.92%"
"2025- 08- 04","25.00","24.59","25.18","24.24","85.96M","3.82%"
"2025- 08- 01","24.08","23.58","24.83","22.57","132.67M","-3.60%"
"2025- 07- 31","24.98","26.70","26.74","24.20","133.41M","-9.53%"
"2025- 07- 30","27.61","27.75","28.13","26.93","96.77M","2.15%"
"2025- 07- 29","27.03","27.41","28.16","26.50","101.71M","0.56%"
"2025- 07- 28","26.88","26.38","26.99","26.34","88.11M","5.00%"
"2025- 07- 25","25.60","25.17","25.62","24.83","68.04M","-0.08%"
"2025- 07- 24","25.62","25.66","25.79","24.95","77.50M","-0.62%"
"2025- 07- 23","25.78","25.65","25.91","24.84","105.64M","-2.05%"
"2025- 07- 22","26.32","27.12","27.28","25.34","118.87M","-4.29%"
"2025- 07- 21","27.50","27.56","28.50","27.44","79.86M","0.62%"
"2025- 07- 18","27.33","27.66","27.90","26.75","68.27M","0.04%"
"2025- 07- 17","27.32","26.96","27.51","26.42","85.33M","1.07%"
"2025- 07- 16","27.03","26.60","27.05","24.91","125.70M","-0.95%"
"2025- 07- 15","27.29","28.05","28.46","27.20","108.93M","2.98%"
"2025- 07- 14","26.50","26.64","26.77","25.32","99.67M","-2.89%"
"2025- 07- 11","27.29","26.85","27.54","26.55","71.86M","-0.29%"
